Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference,Total Trades,Catastrophe Point Index
965,True,900,1600,1,45,1,64.96%,90.65,-578,-0.71778,0.48043,-1.20293,0.595,0.501,6.234,108.3,15.9,112500,62378
966,True,900,1600,1,45,1,65.0%,90.9,-354,-0.52202,0.01716,-1.20034,0.513,nan,6.571,107.35,9.15,112500,64477
967,True,900,1600,1,45,1,65.08%,75.05,-597,-0.32331,-1.1822,-1.19919,1.338,0.577,6.457,102.4,36.2,112500,69175
968,True,900,1600,1,45,1,64.76%,64.2,-273,0.57976,-1.47539,-1.20239,7.914,0.577,6.192,110.25,15.1,112500,47751
969,True,900,1600,1,45,1,65.12%,64.35,-375,-0.68117,-1.09927,-1.19865,0.649,0.577,6.016,123.55,16.6,112500,71378
970,True,900,1600,1,45,1,64.92%,56.8,-229,-0.52787,-0.37203,-1.19932,0.683,1.084,6.968,113.75,9.65,112500,58068
971,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
972,True,900,1600,1,45,1,65.16%,90.7,-238,-0.92315,-0.90685,-1.19862,0.498,0.479,5.463,113.7,0.35,112500,73581
973,True,900,1600,1,45,1,64.88%,73.55,-235,-0.16625,-1.16487,-1.19926,1.606,0.577,6.622,116.4,28.9,112500,55563
974,True,900,1600,1,45,1,64.76%,70.85,-569,0.27794,0.23826,-1.19907,2.112,0.535,7.38,103.45,17.8,112500,49256
975,True,900,1600,1,45,1,64.92%,70.65,-346,0.29023,-1.02043,-1.19782,0.516,0.113,6.332,103.3,20.2,112500,58555
976,True,900,1600,1,45,1,64.68%,53.75,-333,1.20121,-0.1343,-1.20378,0.509,0.427,6.894,92.85,11.2,112500,42703
977,True,900,1600,1,45,1,65.0%,90.25,-154,-0.43786,-1.48237,-1.19879,0.592,0.577,5.864,117.55,13.3,112500,64084
978,True,900,1600,1,45,1,64.84%,90.85,-315,-0.45682,-0.59404,-1.19987,0.512,0.577,7.269,114.65,11.5,112500,54372
979,True,900,1600,1,45,1,65.08%,91.35,-450,1.16082,-0.76484,-1.19977,0.5,0.548,6.255,106.2,20.55,112500,69351
980,True,900,1600,1,45,1,64.88%,61.3,-367,-0.21758,-1.04801,-1.20122,13.435,nan,6.257,104.45,17.05,112500,55314
981,True,900,1600,1,45,1,64.96%,52.8,-298,-0.19802,-0.801,-1.19916,0.506,0.577,6.153,115.45,9.05,112500,61716
982,True,900,1600,1,45,1,65.16%,92.35,-489,-0.21164,-1.30415,-1.19874,0.511,0.577,6.544,124.3,24.0,112500,73879
983,True,900,1600,1,45,1,65.04%,60.05,-281,-0.03763,-1.1614,-1.20319,0.913,0.548,6.79,102.45,18.85,112500,65037
984,True,900,1600,1,45,1,64.92%,68.65,-310,-0.49313,-1.17442,-1.1985,1.588,0.548,7.029,94.7,7.0,112500,58244
985,True,900,1600,1,45,1,65.08%,91.0,-269,-0.59737,-1.09144,-1.19919,2.38,5.346,5.817,113.3,25.2,112500,69176
986,True,900,1600,1,45,1,64.88%,91.5,-216,0.07337,-0.32223,-1.19833,0.482,0.577,6.236,88.2,25.25,112500,55746
987,True,900,1600,1,45,1,64.96%,66.15,-322,0.22525,-0.97392,-1.19844,0.507,0.577,6.572,114.6,11.45,112500,60806
988,True,900,1600,1,45,1,65.08%,56.5,-540,-0.77291,-1.29113,-1.20132,0.664,0.707,6.175,108.0,6.7,112500,69697
989,True,900,1600,1,45,1,65.16%,65.85,-367,-0.36989,-1.25,-1.19936,0.538,0.548,6.284,125.1,10.5,112500,74207
990,True,900,1600,1,45,1,64.84%,91.1,-242,0.04506,-0.07856,-1.20133,4.578,nan,6.169,101.4,27.2,112500,52812
991,True,900,1600,1,45,1,65.0%,77.05,-387,0.0922,-0.94677,-1.19816,0.516,0.577,6.219,109.6,9.65,112500,63735
992,True,900,1600,1,45,1,65.0%,65.0,-495,-0.28305,-1.50973,-1.19817,0.938,1.356,6.025,117.45,16.0,112500,63752
993,True,900,1600,1,45,1,64.84%,90.9,-195,-0.21898,-0.88472,-1.19777,8.303,0.548,6.446,88.1,13.25,112500,53350
994,True,900,1600,1,45,1,65.04%,53.15,-474,0.9821,-1.40881,-1.19971,0.72,0.577,6.614,120.25,7.15,112500,65523
995,True,900,1600,1,45,1,64.92%,82.2,-408,-0.19157,-0.72688,-1.20078,2.922,nan,6.523,109.65,11.9,112500,57856
996,True,900,1600,1,45,1,65.16%,69.5,-196,-0.14701,-0.59113,-1.20052,0.491,0.577,6.292,111.1,16.55,112500,74553
997,True,900,1600,1,45,1,65.08%,55.0,-446,-0.83631,-0.40401,-1.20052,0.528,0.707,6.536,115.85,6.9,112500,69532
998,True,900,1600,1,45,1,65.12%,55.1,-988,-0.91391,-1.08324,-1.20121,0.509,nan,6.49,104.75,8.6,112500,70250
999,True,900,1600,1,45,1,64.88%,75.2,-246,-0.3865,-0.52426,-1.20292,0.532,0.535,6.914,117.1,25.9,112500,57310
1000,True,900,1600,1,45,1,64.92%,57.0,-280,-0.75885,-1.40949,-1.20382,0.678,0.577,6.968,126.0,15.75,112500,59957
